ADM2CD_c,NAM_1,NAM_2,score,poverty_rural
AGO015008,Moxico,Luena (moxico),0.7476794966138326,0.674
AGO015009,Moxico,Lumbala N'guimbo,0.5485650897026062,0.74
AGO015007,Moxico,Luchazes,0.4337916374206543,0.675
