project_id,source,lon,lat,aoi,denom_cells_5km,pop_5km,hh_5km,poorest_hh_5km,ag_km2_5km,pct_electrified_5km,pct_rural_5km,pct_priority_5km,risk_roadcells_5km,denom_cells_10km,pop_10km,hh_10km,poorest_hh_10km,ag_km2_10km,pct_electrified_10km,pct_rural_10km,pct_priority_10km,risk_roadcells_10km,denom_cells_30km,pop_30km,hh_30km,poorest_hh_30km,ag_km2_30km,pct_electrified_30km,pct_rural_30km,pct_priority_30km,risk_roadcells_30km,dist_km_to_caala_lp
22,wb,21.4365504,-14.1098093,moxico,94,28600.7421875,5720.1484375,4232.91015625,1.176841040012857,0.0,0.07446808510638298,0.0,17,377,32683.55078125,6536.71015625,4837.16552734375,2.3952709773182757,0.0,0.058355437665782495,0.0,48,3399,44488.82421875,8897.76484375,6584.3466796875,9.733621018414334,0.0,0.02294792586054722,0.0,237,650.6706004397203
10,dm,21.4365504,-14.1098093,moxico,94,28600.7421875,5720.1484375,4232.91015625,1.176841040012857,0.0,0.07446808510638298,0.0,17,377,32683.55078125,6536.71015625,4837.16552734375,2.3952709773182757,0.0,0.058355437665782495,0.0,48,3399,44488.82421875,8897.76484375,6584.3466796875,9.733621018414334,0.0,0.02294792586054722,0.0,237,650.6706004397203
9,dm,20.4461833,-11.6545714,moxico,95,16881.84375,3376.36875,2116.983154296875,0.6490274877824896,0.0,0.16842105263157894,0.0,19,374,20557.1328125,4111.4265625,2577.86474609375,2.7646877645651533,0.0,0.0748663101604278,0.0,77,3368,48815.01171875,9763.00234375,6255.65869140625,21.872755683674708,0.0,0.04839667458432304,0.0,492,547.3130632417971
21,wb,20.4461833,-11.6545714,moxico,95,16881.84375,3376.36875,2116.983154296875,0.6490274877824896,0.0,0.16842105263157894,0.0,19,374,20557.1328125,4111.4265625,2577.86474609375,2.7646877645651533,0.0,0.0748663101604278,0.0,77,3368,48815.01171875,9763.00234375,6255.65869140625,21.872755683674708,0.0,0.04839667458432304,0.0,492,547.3130632417971
4,dm,20.820568,-12.5282246,moxico,95,8293.7919921875,1658.7583984375,1118.00341796875,1.9321177452228908,0.0,0.0,0.0,24,373,11519.7578125,2303.9515625,1552.8634033203125,10.928071809124171,0.0,0.010723860589812333,0.0,61,3377,17514.76171875,3502.95234375,2378.75537109375,30.654492100904353,0.0,0.00414569144210838,0.0,289,571.7727097099154
16,wb,20.820568,-12.5282246,moxico,95,8293.7919921875,1658.7583984375,1118.00341796875,1.9321177452228908,0.0,0.0,0.0,24,373,11519.7578125,2303.9515625,1552.8634033203125,10.928071809124171,0.0,0.010723860589812333,0.0,61,3377,17514.76171875,3502.95234375,2378.75537109375,30.654492100904353,0.0,0.00414569144210838,0.0,289,571.7727097099154
14,wb,19.8603732,-13.6943526,moxico,94,8477.572265625,1695.514453125,1144.47216796875,4.397925403713966,0.0,0.02127659574468085,0.0,19,374,9056.11328125,1811.22265625,1222.5751953125,9.757252025215225,0.0,0.008021390374331552,0.0,31,3390,10047.076171875,2009.415234375,1356.3553466796875,11.094815537042015,0.0,0.002654867256637168,0.0,82,474.77357290402466
2,dm,19.8603732,-13.6943526,moxico,94,8477.572265625,1695.514453125,1144.47216796875,4.397925403713966,0.0,0.02127659574468085,0.0,19,374,9056.11328125,1811.22265625,1222.5751953125,9.757252025215225,0.0,0.008021390374331552,0.0,31,3390,10047.076171875,2009.415234375,1356.3553466796875,11.094815537042015,0.0,0.002654867256637168,0.0,82,474.77357290402466
20,wb,20.0330212,-11.8465279,moxico,94,795.853759765625,159.170751953125,107.28109741210938,0.30321657190029216,0.0,0.0425531914893617,0.0,2,372,7755.265625,1551.053125,1045.409912109375,5.534156943341043,0.0,0.0456989247311828,0.0,14,3364,482419.1875,96483.8375,65025.74609375,68.61473823573505,0.0,0.0603448275862069,0.0,202,498.50685065133297
8,dm,20.0330212,-11.8465279,moxico,94,795.853759765625,159.170751953125,107.28109741210938,0.30321657190029216,0.0,0.0425531914893617,0.0,2,372,7755.265625,1551.053125,1045.409912109375,5.534156943341043,0.0,0.0456989247311828,0.0,14,3364,482419.1875,96483.8375,65025.74609375,68.61473823573505,0.0,0.0603448275862069,0.0,202,498.50685065133297
18,wb,21.3746172,-13.4893342,moxico,93,4606.40234375,921.28046875,681.7476196289062,4.635833770787696,0.0,0.06451612903225806,0.0,26,378,6953.47265625,1390.69453125,1029.114013671875,23.33679742988751,0.0,0.026455026455026454,0.0,73,3382,11138.423828125,2227.684765625,1648.486572265625,39.73079497002837,0.0,0.0059136605558840925,0.0,333,633.5356056274107
6,dm,21.3746172,-13.4893342,moxico,93,4606.40234375,921.28046875,681.7476196289062,4.635833770787696,0.0,0.06451612903225806,0.0,26,378,6953.47265625,1390.69453125,1029.114013671875,23.33679742988751,0.0,0.026455026455026454,0.0,73,3382,11138.423828125,2227.684765625,1648.486572265625,39.73079497002837,0.0,0.0059136605558840925,0.0,333,633.5356056274107
1,dm,20.2367976,-11.5212064,moxico,96,1496.189453125,299.237890625,217.61984252929688,0.1602223395524458,0.0,0.11458333333333333,0.0,14,374,4748.22705078125,949.64541015625,666.8453369140625,2.4370121144220667,0.0,0.06149732620320856,0.0,57,3365,72777.53125,14555.50625,9973.6904296875,25.063287638868047,0.0,0.04665676077265973,0.0,379,529.340313574708
