ADM2CD_c,NAM_1,NAM_2,lon,lat,pop,rwi_z,mass,share_selected,selected,in_priority_mask
AGO019001,Moxico Leste,Alto Zambeze,22.90821525446776,-12.209336083052378,164408.8125,-0.1960461,156350.88530182466,0.0,False,False
AGO019003,Moxico Leste,Kameia Lumege,21.263851457244986,-11.837972370197786,43674.91015625,-0.20002493,41490.89339213143,0.0,False,False
AGO019005,Moxico Leste,Luacano,22.04644781585214,-11.669554941499785,30847.67578125,-0.23122178,29064.512958519623,0.0,False,False
AGO019006,Moxico Leste,Luau,21.997868306510306,-10.90182356202823,133112.9375,-0.16522709,127614.46885325389,0.0,False,False
