row,col,lon,lat,flow_load,risk_rank
91,141,13.704166666666659,-12.520833333333325,61365.125716337876,1
163,263,14.720833333333324,-13.120833333333326,60263.50789359142,2
106,134,13.645833333333325,-12.645833333333325,53129.53858117583,3
101,137,13.670833333333324,-12.604166666666659,53129.53858117583,4
108,134,13.645833333333325,-12.662499999999993,53129.53858117583,5
61,153,13.804166666666658,-12.270833333333325,53129.53858117583,6
64,152,13.795833333333324,-12.295833333333325,53129.53858117583,7
133,155,13.820833333333324,-12.870833333333326,45650.19796538393,8
143,172,13.962499999999991,-12.954166666666659,45650.19796538393,9
144,175,13.987499999999992,-12.962499999999991,45650.19796538393,10
142,171,13.954166666666659,-12.945833333333326,45650.19796538393,11
156,197,14.170833333333324,-13.062499999999993,45650.19796538393,12
64,149,13.770833333333325,-12.295833333333325,41826.90698593188,13
165,250,14.612499999999992,-13.137499999999992,39421.11390741551,14
165,249,14.604166666666657,-13.137499999999992,39421.11390741551,15
163,262,14.712499999999991,-13.120833333333326,39421.11390741551,16
167,230,14.445833333333324,-13.154166666666658,39421.11390741551,17
72,204,14.229166666666657,-12.362499999999992,27622.972799462983,18
89,176,13.995833333333325,-12.50416666666666,27622.972799462983,19
91,174,13.979166666666657,-12.520833333333325,27622.972799462983,20
90,175,13.987499999999992,-12.512499999999992,27622.972799462983,21
75,199,14.187499999999991,-12.387499999999992,27622.972799462983,22
83,186,14.079166666666659,-12.454166666666659,27622.972799462983,23
86,181,14.03749999999999,-12.479166666666659,27622.972799462983,24
156,162,13.879166666666658,-13.062499999999993,24313.948062065283,25
122,132,13.629166666666658,-12.779166666666658,24313.948062065283,26
42,169,13.937499999999991,-12.112499999999992,23924.080500250093,27
139,189,14.104166666666657,-12.920833333333325,20842.39398617591,28
135,179,14.020833333333325,-12.887499999999992,20842.39398617591,29
143,202,14.212499999999991,-12.954166666666659,20842.39398617591,30
149,220,14.362499999999992,-13.00416666666666,20842.39398617591,31
162,261,14.704166666666659,-13.112499999999992,20842.39398617591,32
133,172,13.962499999999991,-12.870833333333326,20842.39398617591,33
220,152,13.795833333333324,-13.595833333333326,20685.718872158595,34
134,111,13.454166666666659,-12.87916666666666,20274.574144435344,35
138,106,13.41249999999999,-12.912499999999993,20274.574144435344,36
136,109,13.437499999999991,-12.895833333333325,20274.574144435344,37
142,102,13.379166666666658,-12.945833333333326,20274.574144435344,38
139,105,13.404166666666658,-12.920833333333325,20274.574144435344,39
143,101,13.370833333333325,-12.954166666666659,20274.574144435344,40
70,202,14.212499999999991,-12.345833333333326,18033.516509516034,41
71,200,14.195833333333324,-12.354166666666659,18033.516509516034,42
73,188,14.095833333333324,-12.370833333333325,18033.516509516034,43
158,208,14.262499999999992,-13.079166666666659,17974.437064881447,44
128,180,14.029166666666658,-12.829166666666659,17974.437064881447,45
131,183,14.054166666666658,-12.854166666666659,17974.437064881447,46
157,208,14.262499999999992,-13.070833333333326,17974.437064881447,47
155,206,14.245833333333325,-13.054166666666658,17974.437064881447,48
156,207,14.254166666666658,-13.062499999999993,17974.437064881447,49
154,205,14.237499999999992,-13.045833333333325,17974.437064881447,50
160,262,14.712499999999991,-13.095833333333326,16931.239078307583,51
48,167,13.920833333333324,-12.162499999999993,13170.991277037429,52
163,216,14.329166666666659,-13.120833333333326,13170.991277037429,53
158,214,14.312499999999991,-13.079166666666659,13170.991277037429,54
160,215,14.320833333333324,-13.095833333333326,13170.991277037429,55
159,214,14.312499999999991,-13.087499999999991,13170.991277037429,56
154,212,14.295833333333324,-13.045833333333325,13170.991277037429,57
82,182,14.045833333333324,-12.445833333333326,13170.991277037429,58
49,168,13.929166666666658,-12.170833333333325,13170.991277037429,59
157,213,14.304166666666658,-13.070833333333326,13170.991277037429,60
137,215,14.320833333333324,-12.904166666666658,12888.96699224254,61
160,217,14.337499999999991,-13.095833333333326,12888.96699224254,62
134,215,14.320833333333324,-12.87916666666666,12888.96699224254,63
146,135,13.654166666666658,-12.979166666666659,12174.562927611605,64
189,145,13.737499999999992,-13.337499999999991,12174.562927611605,65
147,135,13.654166666666658,-12.987499999999992,12174.562927611605,66
188,145,13.737499999999992,-13.329166666666659,12174.562927611605,67
161,261,14.704166666666659,-13.104166666666659,9111.465161019483,68
145,236,14.495833333333325,-12.970833333333326,9111.465161019483,69
147,238,14.512499999999992,-12.987499999999992,9111.465161019483,70
142,230,14.445833333333324,-12.945833333333326,9111.465161019483,71
142,231,14.454166666666659,-12.945833333333326,9111.465161019483,72
146,237,14.504166666666658,-12.979166666666659,9111.465161019483,73
134,218,14.345833333333324,-12.87916666666666,9111.465161019483,74
147,239,14.520833333333325,-12.987499999999992,9111.465161019483,75
74,187,14.087499999999991,-12.37916666666666,9016.758254758017,76
136,248,14.595833333333324,-12.895833333333325,8929.550724161969,77
