oi,dj,flow,dist_km
AGO002001,AGO002001,5001.524370002246,0.0
AGO002001,AGO002002,267.429900421654,202.23439308320255
AGO002001,AGO002003,10137.287072217672,71.38788785633808
AGO002001,AGO002004,805.1976423392099,156.08632522283617
AGO002001,AGO002005,1191.1505345428943,88.06278270111612
AGO002001,AGO002006,3202.36398097568,100.0227380078513
AGO002001,AGO002007,1157.9846124325225,88.38950468924368
AGO002001,AGO002008,2061.749906344237,133.67283781352347
AGO002001,AGO002009,868.6893473656922,175.41849476492112
AGO002001,AGO002010,1636.6644937565125,148.10033532234385
AGO002002,AGO002001,267.429900421654,202.23439308320255
AGO002002,AGO002002,6168.732883918923,0.0
AGO002002,AGO002003,4379.223900700535,134.33617138776768
AGO002002,AGO002004,4029.001838574315,55.732270488338244
AGO002002,AGO002005,766.3884800729763,124.45352365037463
AGO002002,AGO002006,2636.4562155421945,119.97800221472444
AGO002002,AGO002007,358.56092806383606,173.53704645081126
AGO002002,AGO002008,3757.452297637881,100.65212439833968
AGO002002,AGO002009,3762.329072516608,84.68965839541224
AGO002002,AGO002010,3659.55445666646,101.44662021788274
AGO002003,AGO002001,10137.287072217672,71.38788785633808
AGO002003,AGO002002,4379.223900700535,134.33617138776768
AGO002003,AGO002003,174921.0494654606,0.0
AGO002003,AGO002004,13811.486399731491,85.0948509626737
AGO002003,AGO002005,12156.974031032642,51.68362733265802
AGO002003,AGO002006,51846.68595608151,32.88235518118757
AGO002003,AGO002007,6087.281463805803,96.24120439160137
AGO002003,AGO002008,22825.098982691965,91.87219257123846
AGO002003,AGO002009,10421.196993087955,128.26412065131862
AGO002003,AGO002010,26564.769290587916,80.79169821997671
AGO002004,AGO002001,805.1976423392099,156.08632522283617
AGO002004,AGO002002,4029.001838574315,55.732270488338244
AGO002004,AGO002003,13811.486399731491,85.0948509626737
AGO002004,AGO002004,14006.366695225975,0.0
AGO002004,AGO002005,1847.3634101356288,93.13244017163309
AGO002004,AGO002006,9016.758254758017,65.3353401421651
AGO002004,AGO002007,781.7267884524148,148.91055075451055
AGO002004,AGO002008,6444.48349612127,92.02051937880978
AGO002004,AGO002009,4464.775362080984,100.61156292272844
AGO002004,AGO002010,11962.040250125046,49.82077713253061
AGO002005,AGO002001,1191.1505345428943,88.06278270111612
AGO002005,AGO002002,766.3884800729763,124.45352365037463
AGO002005,AGO002003,12156.974031032642,51.68362733265802
AGO002005,AGO002004,1847.3634101356288,93.13244017163309
AGO002005,AGO002005,3982.7800984363266,0.0
AGO002005,AGO002006,4117.79356758102,75.66876996792085
AGO002005,AGO002007,1670.1993310336277,56.37995723173947
AGO002005,AGO002008,6812.323191925266,46.40220857807008
AGO002005,AGO002009,2892.335726153696,87.63746745646444
AGO002005,AGO002010,2442.280768083632,113.8234458626807
AGO002006,AGO002001,3202.36398097568,100.0227380078513
AGO002006,AGO002002,2636.4562155421945,119.97800221472444
AGO002006,AGO002003,51846.68595608151,32.88235518118757
AGO002006,AGO002004,9016.758254758017,65.3353401421651
AGO002006,AGO002005,4117.79356758102,75.66876996792085
AGO002006,AGO002006,41211.52550547702,0.0
AGO002006,AGO002007,1874.1973670204295,126.58871838441941
AGO002006,AGO002008,8987.218532440724,105.82212432622838
AGO002006,AGO002009,4555.732580509742,135.24059896489857
AGO002006,AGO002010,20913.45349296594,48.550687128206405
AGO002007,AGO002001,1157.9846124325225,88.38950468924368
AGO002007,AGO002002,358.56092806383606,173.53704645081126
AGO002007,AGO002003,6087.281463805803,96.24120439160137
AGO002007,AGO002004,781.7267884524148,148.91055075451055
AGO002007,AGO002005,1670.1993310336277,56.37995723173947
AGO002007,AGO002006,1874.1973670204295,126.58871838441941
AGO002007,AGO002007,3801.153535813155,0.0
AGO002007,AGO002008,4255.577972273494,76.21319956084461
AGO002007,AGO002009,1916.7903837423337,113.50910201536284
AGO002007,AGO002010,1043.7036027811266,168.944715529049
AGO002008,AGO002001,2061.749906344237,133.67283781352347
AGO002008,AGO002002,3757.452297637881,100.65212439833968
AGO002008,AGO002003,22825.098982691965,91.87219257123846
AGO002008,AGO002004,6444.48349612127,92.02051937880978
AGO002008,AGO002005,6812.323191925266,46.40220857807008
AGO002008,AGO002006,8987.218532440724,105.82212432622838
AGO002008,AGO002007,4255.577972273494,76.21319956084461
AGO002008,AGO002008,46878.1919566634,0.0
AGO002008,AGO002009,19710.556953707754,41.88388408713618
AGO002008,AGO002010,6585.495638518714,129.88004491310545
AGO002009,AGO002001,868.6893473656922,175.41849476492112
AGO002009,AGO002002,3762.329072516608,84.68965839541224
AGO002009,AGO002003,10421.196993087955,128.26412065131862
AGO002009,AGO002004,4464.775362080984,100.61156292272844
AGO002009,AGO002005,2892.335726153696,87.63746745646444
AGO002009,AGO002006,4555.732580509742,135.24059896489857
AGO002009,AGO002007,1916.7903837423337,113.50910201536284
AGO002009,AGO002008,19710.556953707754,41.88388408713618
AGO002009,AGO002009,29115.558915654474,0.0
AGO002009,AGO002010,4000.844177072806,147.2283302126076
AGO002010,AGO002001,1636.6644937565125,148.10033532234385
AGO002010,AGO002002,3659.55445666646,101.44662021788274
AGO002010,AGO002003,26564.769290587916,80.79169821997671
AGO002010,AGO002004,11962.040250125046,49.82077713253061
AGO002010,AGO002005,2442.280768083632,113.8234458626807
AGO002010,AGO002006,20913.45349296594,48.550687128206405
AGO002010,AGO002007,1043.7036027811266,168.944715529049
AGO002010,AGO002008,6585.495638518714,129.88004491310545
AGO002010,AGO002009,4000.844177072806,147.2283302126076
AGO002010,AGO002010,45539.85928400028,0.0
