ADM2CD_c,NAM_1,NAM_2,poverty__poverty_rural,poverty__poverty_urban,poverty__poverty_total,traveltime__avg_minutes_to_market_financial,poverty_quintile
AGO019001,Moxico Leste,Alto Zambeze,0.7390000000000001,0.565,0.685,196.07986266,4
AGO019003,Moxico Leste,Kameia Lumege,0.742,0.0,0.742,183.94050036000002,5
AGO019005,Moxico Leste,Luacano,0.0,0.0,0.0,0.0,1
AGO019006,Moxico Leste,Luau,0.0,0.0,0.0,0.0,2
