aoi,travel_cut_min,pop_within,cells_within,area_km2_within,pop_pct,cropland_km2,cropland_pct,electrified_cells,electrified_pct,health_cover_60min_pct,tt_health_mean_within,building_count_within,dre_demand_within,drought_mean_within,gsl_mean_within,cell_area_km2,note_electrification_denominator_zero,pop_total,cropland_total_km2,electrified_total_cells
benguela,30.0,1857610.5,2010.0,2010.0,56.77631637763281,886.3492431640625,7.1034625267625735,541.0,74.93074792243767,99.55223880597015,10.596590042114258,547218.0,183936.6875,19.005748748779297,214.45663452148438,1.0,False,3271805.25,12477.70703125,722.0
benguela,60.0,2157382.5,5902.0,5902.0,65.93859765950312,2368.14111328125,18.978976725053087,605.0,83.79501385041551,97.89901728227719,19.325729370117188,642471.0,206264.890625,18.99591064453125,224.45152282714844,1.0,False,3271805.25,12477.70703125,722.0
benguela,120.0,2683654.5,17975.0,17975.0,82.0236626247849,6115.486328125,49.01129921394187,662.0,91.68975069252078,86.75938803894297,33.39751434326172,856197.0,245792.796875,20.036962509155273,231.75392150878906,1.0,False,3271805.25,12477.70703125,722.0
benguela,240.0,3175567.25,37758.0,37758.0,97.05856575662625,11234.5908203125,90.03730246411334,680.0,94.18282548476455,63.112452990094816,56.52861022949219,1059487.0,278102.3125,20.58451271057129,237.0313720703125,1.0,False,3271805.25,12477.70703125,722.0
