ADM2CD_c,NAM_1,NAM_2,score,poverty_rural
AGO003002,Bié,Camacupa,0.7057318459681379,0.594
AGO003008,Bié,Kuito,0.6918096159319145,0.483
AGO003009,Bié,N'harea,0.6890625362302742,0.495
AGO003001,Bié,Andulo,0.6529441411038498,0.53
AGO003003,Bié,Catabola,0.6265425925574651,0.49
AGO003004,Bié,Chinguar,0.614318282573254,0.55
AGO003007,Bié,Cunhinga,0.6073025964247952,0.521
AGO003005,Bié,Chitembo,0.451356291770935,0.586
