ADM2CD_c,NAM_2,poverty_rural,cum_pop_share,cum_benefit_share
AGO003006,Cuemba,0.618,0.03901538476062024,0.0
AGO003002,Camacupa,0.594,0.1462521345285708,0.0
AGO003005,Chitembo,0.586,0.20020403462158948,0.0
AGO003004,Chinguar,0.55,0.2862346684865806,0.0
AGO003001,Andulo,0.53,0.46215630295321924,0.0
AGO003007,Cunhinga,0.521,0.5143232591712503,0.0
AGO003009,N'harea,0.495,0.6027299025423819,0.0
AGO003003,Catabola,0.49,0.6885988773368181,0.0
AGO003008,Kuito,0.483,1.0,1.0
