Province (AOI),Origin Admin2,Destination Admin2,Modelled flow (relative),Distance (km),Both in top priority mask?
Moxicoleste,Alto Zambeze,Luau,53869.7,176.0,No
Moxicoleste,Luacano,Luau,38895.3,85.5,No
Moxicoleste,Alto Zambeze,Luacano,32368.1,111.3,No
Moxicoleste,Kameia Lumege,Luau,27949.1,131.3,No
Moxicoleste,Alto Zambeze,Kameia Lumege,15639.8,183.5,No
Moxicoleste,Kameia Lumege,Luacano,12327.9,87.2,No
