Province (AOI),Municipality (Admin2),Composite score (0–1),Rural poverty index,Food insecurity index,Mean travel time (min),% electrified,Share of province priority area (%)
moxico,Luena (moxico),0.748,0.674,0.64,145.567,4.9,
moxico,Lumbala N'guimbo,0.549,0.74,0.684,484.487,1.6,
moxico,Luchazes,0.434,0.675,0.693,327.545,5.1,
moxico,Camanongue,,0.728,0.738,101.129,4.5,
moxico,Leua,,0.627,0.784,75.766,18.5,
