ADM2CD_c,NAM_1,NAM_2,score,rank,selected,share_selected,selected_cells,selected_km2,total_cells,total_km2,top10_cells,top10_km2
AGO015008,Moxico,Luena (moxico),0.7476794966138326,1,False,0.0,0,0.0,104,87.60494530739103,0,0.0
AGO015009,Moxico,Lumbala N'guimbo,0.5485650897026062,2,False,0.0,0,0.0,9,7.544168292565684,0,0.0
AGO015007,Moxico,Luchazes,0.4337916374206543,3,False,0.0,0,0.0,9,7.524600932871806,0,0.0
AGO015002,Moxico,Camanongue,,4,False,0.0,0,0.0,0,0.0,0,0.0
AGO015004,Moxico,Leua,,5,False,0.0,0,0.0,0,0.0,0,0.0
