row,col,lon,lat,flow_load,risk_rank
227,231,17.670833333333327,-12.462499999999995,62704.03702136557,1
229,218,17.562499999999993,-12.479166666666663,55258.82074298234,2
233,179,17.237499999999994,-12.512499999999996,55258.82074298234,3
111,98,16.562499999999993,-11.49583333333333,46206.72098622833,4
216,144,16.945833333333326,-12.370833333333328,35870.23986379418,5
120,102,16.595833333333328,-11.57083333333333,31944.483507936537,6
207,139,16.904166666666658,-12.295833333333329,31944.483507936537,7
216,143,16.937499999999993,-12.370833333333328,31944.483507936537,8
193,188,17.312499999999993,-12.179166666666662,19856.257182066078,9
202,203,17.437499999999993,-12.254166666666663,19856.257182066078,10
174,159,17.070833333333326,-12.020833333333329,19714.835045796928,11
217,154,17.029166666666658,-12.379166666666663,19714.835045796928,12
288,164,17.112499999999994,-12.970833333333328,19496.84350213452,13
165,123,16.770833333333325,-11.94583333333333,14262.237478291792,14
110,110,16.662499999999994,-11.487499999999995,12638.045380282985,15
188,180,17.245833333333326,-12.137499999999996,12638.045380282985,16
139,136,16.87916666666666,-11.729166666666663,12638.045380282985,17
115,114,16.695833333333326,-11.529166666666663,12638.045380282985,18
180,155,17.037499999999994,-12.07083333333333,12128.689239982741,19
186,171,17.170833333333327,-12.120833333333328,12128.689239982741,20
214,141,16.920833333333327,-12.354166666666663,11762.638450998447,21
111,88,16.47916666666666,-11.49583333333333,10203.375239504296,22
205,95,16.537499999999994,-12.279166666666661,10203.375239504296,23
188,119,16.737499999999994,-12.137499999999996,9521.639449935432,24
232,180,17.245833333333326,-12.504166666666663,7445.2162783832355,25
232,177,17.220833333333324,-12.504166666666663,7445.2162783832355,26
232,179,17.237499999999994,-12.504166666666663,7445.2162783832355,27
93,166,17.12916666666666,-11.34583333333333,7255.111706146002,28
158,133,16.85416666666666,-11.887499999999996,7255.111706146002,29
96,173,17.187499999999993,-11.37083333333333,6142.778525602496,30
185,222,17.595833333333324,-12.112499999999995,6142.778525602496,31
184,221,17.58749999999999,-12.104166666666663,6142.778525602496,32
180,219,17.570833333333326,-12.07083333333333,6142.778525602496,33
208,234,17.695833333333326,-12.304166666666662,6142.778525602496,34
