ADM2CD_c,NAM_1,NAM_2,poverty__poverty_rural,poverty__poverty_urban,poverty__poverty_total,traveltime__avg_minutes_to_market_financial,poverty_quintile
AGO015002,Moxico,Camanongue,0.728,0.518,0.653,101.12942579999999,4
AGO015004,Moxico,Leua,0.627,0.565,0.614,75.76589778,1
AGO015007,Moxico,Luchazes,0.675,0.0,0.675,327.54492948,3
AGO015008,Moxico,Luena (moxico),0.674,0.32299999999999995,0.405,145.56669348,2
AGO015009,Moxico,Lumbala N'guimbo,0.74,0.625,0.708,484.48670994,5
