ADM2CD_c,NAM_1,NAM_2,poverty__poverty_rural,poverty__poverty_urban,poverty__poverty_total,traveltime__avg_minutes_to_market_financial,poverty_quintile
AGO003001,Bié,Andulo,0.53,0.28300000000000003,0.461,214.41318330000001,3
AGO003002,Bié,Camacupa,0.594,0.42,0.525,245.86715904,5
AGO003003,Bié,Catabola,0.49,0.331,0.45399999999999996,201.45332136000002,1
AGO003004,Bié,Chinguar,0.55,0.36,0.511,118.7445789,4
AGO003005,Bié,Chitembo,0.586,0.483,0.552,229.86998531999998,4
AGO003006,Bié,Cuemba,0.618,0.508,0.579,335.08619735999997,5
AGO003007,Bié,Cunhinga,0.521,0.325,0.49,193.20305190000002,2
AGO003008,Bié,Kuito,0.483,0.212,0.26899999999999996,162.15205806,1
AGO003009,Bié,N'harea,0.495,0.341,0.462,41.42306874,2
