row,col,lon,lat,flow_load,risk_rank
80,297,20.412499999999994,-11.870833333333328,31106.756793670655,1
131,226,19.820833333333326,-12.295833333333329,31106.756793670655,2
131,227,19.82916666666666,-12.295833333333329,31106.756793670655,3
81,295,20.395833333333325,-11.879166666666663,31106.756793670655,4
49,264,20.137499999999992,-11.612499999999995,29860.147759389896,5
131,223,19.795833333333327,-12.295833333333329,29860.147759389896,6
111,233,19.87916666666666,-12.129166666666663,29860.147759389896,7
89,244,19.970833333333324,-11.94583333333333,29860.147759389896,8
84,247,19.995833333333326,-11.904166666666661,14930.073879694948,9
44,267,20.162499999999994,-11.57083333333333,14930.073879694948,10
64,256,20.070833333333326,-11.737499999999995,14930.073879694948,11
64,257,20.07916666666666,-11.737499999999995,14930.073879694948,12
46,266,20.154166666666658,-11.587499999999995,14930.073879694948,13
130,223,19.795833333333327,-12.287499999999994,14930.073879694948,14
124,227,19.82916666666666,-12.237499999999995,14930.073879694948,15
108,234,19.887499999999992,-12.104166666666663,14930.073879694948,16
53,305,20.479166666666657,-11.645833333333329,6789.751506164464,17
47,299,20.42916666666666,-11.595833333333328,6789.751506164464,18
28,279,20.262499999999992,-11.437499999999995,6789.751506164464,19
41,292,20.370833333333326,-11.545833333333329,6789.751506164464,20
33,284,20.30416666666666,-11.479166666666663,6789.751506164464,21
55,307,20.495833333333326,-11.662499999999996,6789.751506164464,22
57,309,20.512499999999992,-11.679166666666662,6789.751506164464,23
48,300,20.437499999999993,-11.604166666666663,6789.751506164464,24
141,220,19.770833333333325,-12.379166666666663,6200.201594809888,25
216,207,19.662499999999994,-13.004166666666661,6200.201594809888,26
249,201,19.612499999999994,-13.279166666666661,6200.201594809888,27
293,193,19.545833333333327,-13.645833333333329,6200.201594809888,28
294,193,19.545833333333327,-13.654166666666661,6200.201594809888,29
