site_index,lon,lat,thresh_min,area_km2,pop,cropland_km2,rwi_mean,rwi_pop_weighted,mean_travel_min
1,18.8847222,-13.4394444,30,318.0757363454712,1322.3746337890625,0.9625455252163787,-0.48750001192092896,-0.1968923956155777,18.79039764404297
1,18.8847222,-13.4394444,60,1172.7157513400525,1622.510009765625,1.1467123690958494,-0.5805999636650085,-0.1606418788433075,38.770660400390625
1,18.8847222,-13.4394444,120,4743.91227418774,3193.80615234375,1.5237858732210245,-0.5718823671340942,-0.2169533222913742,80.2267074584961
1,18.8847222,-13.4394444,240,18538.350696509122,15935.16796875,14.411567905550646,-0.4100622534751892,0.02932926081120968,156.79290771484375
2,20.2367976,-11.5212064,30,337.31046126658845,30481.5546875,3.272141180253651,-0.3454872667789459,0.03950298950076103,20.683549880981445
2,20.2367976,-11.5212064,60,1818.1129896313091,68132.6328125,15.466559029817144,-0.3544975221157074,-0.041545089334249496,42.517181396484375
2,20.2367976,-11.5212064,120,6908.445681973471,583725.3125,101.5821946862471,-0.3091326653957367,0.42646899819374084,77.9168701171875
2,20.2367976,-11.5212064,240,20649.46578240377,613839.875,155.07739028705598,-0.3296346068382263,0.398616224527359,146.59017944335938
3,19.8603732,-13.6943526,30,362.8562729582989,9599.587890625,10.459411428947867,-0.23318304121494293,0.16952966153621674,18.704694747924805
3,19.8603732,-13.6943526,60,1047.6533887303362,9981.806640625,11.019575835027705,-0.40352416038513184,0.16303811967372894,36.511329650878906
3,19.8603732,-13.6943526,120,3886.187531462825,11393.9794921875,11.846806858716498,-0.38253891468048096,0.11799072474241257,78.18304443359375
3,19.8603732,-13.6943526,240,16425.197837208696,18761.845703125,16.05745183368184,-0.4350070655345917,0.0012823441065847874,163.39910888671875
4,21.1787199,-15.13802,30,203.53202933826546,1213.1630859375,0.01661018070342001,-0.6027949452400208,-0.21545982360839844,18.51999855041504
4,21.1787199,-15.13802,60,667.1684524919166,1471.7928466796875,0.024920169837313627,-0.5815451741218567,-0.19178800284862518,37.699214935302734
4,21.1787199,-15.13802,120,2415.8928531263873,5208.58984375,0.33284072831927797,-0.36900728940963745,-0.15315060317516327,77.42655944824219
4,21.1787199,-15.13802,240,10060.979772321578,57875.5,18.310244123270653,-0.45911258459091187,-0.19271662831306458,162.75502014160156
5,20.820568,-12.5282246,30,336.02275665048376,12368.05859375,17.219490553164256,-0.33270740509033203,-0.030161462724208832,18.622814178466797
5,20.820568,-12.5282246,60,1238.2339399534214,19369.90625,31.54677868728082,-0.35390472412109375,-0.06471576541662216,39.154483795166016
