ADM2CD_c,NAM_1,NAM_2,area_km2,pop_total,pop_le60min,pop_le120min,pop_gt120min,cropland_km2,pct_electrified,pct_rural,rural_pop_est,pct_priority,poverty_rural,food_insec_scale,avg_minutes_to_market_financial,rwi_mean,score
AGO019001,Moxico Leste,Alto Zambeze,47588.28350407075,164303.59993733434,103892.42078905653,132413.42954995693,31890.17038737741,27.623729240452697,0.0,0.005107631402212718,839.2022265365243,0.0,0.7390000000000001,0.647,196.07986266,-0.39091509452662526,0.6113968927237902
AGO019003,Moxico Leste,Kameia Lumege,7848.090289892799,43676.829065787715,39474.563762252285,41497.34886079785,2179.4802049898644,0.2951305532926745,0.0,0.006546469199399013,285.92901620659484,0.0,0.742,0.778,183.94050036,-0.39849946122148855,0.49280340911435616
AGO019005,Moxico Leste,Luacano,14040.319845708538,30885.346030962886,0.0,90.97808308899403,30794.367947873892,0.2609894123319249,0.0,0.0033013205282112846,101.9624268729267,0.0,0.0,0.0,0.0,-0.4624435602531291,0.14285714285714285
AGO019006,Moxico Leste,Luau,3839.8121029983868,133178.54960257604,127872.05786923307,132825.77910405665,352.770498519385,15.474641255045592,0.0,0.025088028169014086,3341.1872039378673,0.0,0.0,0.0,0.0,-0.33186906995633464,0.07942840696236832
