row,col,lon,lat,flow_load,risk_rank
40,159,22.004166666666656,-10.920833333333329,53869.73501671955,1
81,188,22.245833333333323,-11.262499999999994,53869.73501671955,2
82,189,22.254166666666656,-11.270833333333329,53869.73501671955,3
78,186,22.229166666666657,-11.237499999999995,53869.73501671955,4
80,187,22.23749999999999,-11.254166666666661,53869.73501671955,5
153,238,22.662499999999987,-11.862499999999994,53869.73501671955,6
154,239,22.670833333333324,-11.870833333333328,53869.73501671955,7
179,256,22.81249999999999,-12.07916666666666,53869.73501671955,8
175,253,22.787499999999987,-12.045833333333327,53869.73501671955,9
151,236,22.64583333333332,-11.845833333333328,53869.73501671955,10
106,162,22.029166666666654,-11.470833333333328,38895.335100377015,11
113,163,22.03749999999999,-11.529166666666661,38895.335100377015,12
44,158,21.995833333333323,-10.954166666666662,38895.335100377015,13
41,158,21.995833333333323,-10.929166666666662,38895.335100377015,14
42,158,21.995833333333323,-10.937499999999995,38895.335100377015,15
43,158,21.995833333333323,-10.945833333333328,38895.335100377015,16
109,163,22.03749999999999,-11.495833333333328,38895.335100377015,17
150,195,22.304166666666656,-11.837499999999995,32368.057839054007,18
151,198,22.329166666666655,-11.845833333333328,32368.057839054007,19
152,199,22.337499999999988,-11.85416666666666,32368.057839054007,20
148,193,22.28749999999999,-11.820833333333328,32368.057839054007,21
149,194,22.295833333333324,-11.82916666666666,32368.057839054007,22
146,189,22.254166666666656,-11.804166666666662,32368.057839054007,23
70,133,21.78749999999999,-11.170833333333327,27949.13548635533,24
130,86,21.39583333333332,-11.670833333333327,27949.13548635533,25
128,87,21.404166666666654,-11.654166666666661,27949.13548635533,26
83,123,21.704166666666655,-11.279166666666661,27949.13548635533,27
74,130,21.76249999999999,-11.204166666666662,27949.13548635533,28
64,138,21.829166666666655,-11.120833333333328,27949.13548635533,29
50,149,21.920833333333324,-11.004166666666661,27949.13548635533,30
149,71,21.27083333333332,-11.82916666666666,27949.13548635533,31
102,108,21.579166666666655,-11.437499999999995,27949.13548635533,32
139,79,21.337499999999988,-11.745833333333328,27949.13548635533,33
107,162,22.029166666666654,-11.47916666666666,19447.667550188507,34
162,123,21.704166666666655,-11.937499999999995,15639.802784214004,35
162,122,21.695833333333322,-11.937499999999995,15639.802784214004,36
151,75,21.304166666666656,-11.845833333333328,15639.802784214004,37
151,74,21.295833333333324,-11.845833333333328,15639.802784214004,38
150,72,21.279166666666658,-11.837499999999995,15639.802784214004,39
151,76,21.31249999999999,-11.845833333333328,15639.802784214004,40
169,154,21.962499999999988,-11.995833333333328,15639.802784214004,41
169,153,21.954166666666655,-11.995833333333328,15639.802784214004,42
162,124,21.712499999999988,-11.937499999999995,15639.802784214004,43
163,125,21.720833333333324,-11.945833333333328,15639.802784214004,44
169,155,21.970833333333324,-11.995833333333328,15639.802784214004,45
190,245,22.72083333333332,-12.170833333333327,15639.802784214004,46
73,131,21.77083333333332,-11.195833333333328,13974.567743177666,47
73,130,21.76249999999999,-11.195833333333328,13974.567743177666,48
