ADM2CD_c,NAM_1,NAM_2,area_km2,pop_total,pop_le60min,pop_le120min,pop_gt120min,cropland_km2,pct_electrified,pct_rural,rural_pop_est,pct_priority,poverty_rural,food_insec_scale,avg_minutes_to_market_financial,rwi_mean,score
AGO003005,Bié,Chitembo,19936.07659053083,116532.8088440732,0.0,5031.518988686212,111501.28985538699,293.241451154158,4.1976241447340805e-05,0.008605129496704864,1002.7799107180037,0.0,0.586,0.731,229.86998532,-0.39797259142798697,0.6454422734615017
AGO003002,Bié,Camacupa,9625.737921009233,231624.82952820676,199687.3530322283,223630.873374354,7993.956153852749,370.88666295436934,0.003491924923614142,0.04364906154517678,10110.206439467776,0.0,0.594,0.6920000000000001,245.86715904,-0.366353452027397,0.5843386252436886
AGO003001,Bié,Andulo,10381.522681013135,379979.9852367106,183487.01081231356,294109.06141218066,85870.92382452992,1202.5014143658973,0.002438826111698236,0.08145679213072107,30951.950671261195,0.0,0.53,0.644,214.4131833,-0.38292632887819944,0.5794816315806363
AGO003006,Bié,Cuemba,13883.614105024591,84270.84804146957,21.39209747314453,6602.911640839086,77667.93640063048,47.11447907485422,0.0005460502366217692,0.008554787040407718,720.919158709332,0.0,0.618,0.585,335.08619736,-0.41124892345729,0.5692510918394961
AGO003004,Bié,Chinguar,3013.744500852572,185820.9144374646,9868.267560186674,136418.0568810948,49402.857556369825,695.7327651362885,0.00641025641025641,0.1867335562987737,34699.00018759791,0.0,0.55,0.72,118.7445789,-0.3359428429281871,0.49830008099870277
AGO003003,Bié,Catabola,2853.6649687377167,185471.74071912665,128220.7753963354,185032.0454132128,439.6953059138614,613.6067591600663,0.005601415094339622,0.19369103773584906,35924.21393056197,0.0,0.49,0.648,201.45332136,-0.38957581072771,0.4554144705174296
AGO003007,Bié,Cunhinga,2094.339675798244,112677.43909763776,19979.754180524178,107237.31864223776,5440.1204554,442.094905609233,0.006028938906752411,0.16438906752411575,18522.939144266013,0.0,0.521,0.628,193.2030519,-0.3948082082772971,0.4471903759417281
AGO003008,Bié,Kuito,4820.156300546381,672607.4047174111,618660.9832783543,660833.1336787035,11774.271038707695,741.3912141588755,0.033112582781456956,0.109794353433252,73848.4951153658,0.0055768560474032764,0.483,0.701,162.15205806,-0.277957531589702,0.4009340745440304
AGO003009,Bié,N'harea,6960.933393089059,190952.9498451776,40660.770733843514,153218.97169971667,37733.97814546092,578.3996273496697,0.0018184022305734028,0.07043277973087647,13449.347055406495,0.0,0.495,0.609,41.42306874,-0.3962998035296965,0.3638908150251932
