aoi,pop_total,n_municipalities,muni_score_mean,muni_score_max,cropland_km2_total,area_km2_total,pct_electrified_popw,poverty_rural_mean,n_clusters,cluster_area_km2_total,cluster_pop_total,cluster_cropland_km2,cluster_risk_roadcells,n_project_sites,catch60_pop_total,od_total_flow,od_mean_dist_km
benguela,3271805.25,10.0,0.5049908042923876,0.9139148932911844,4821.603833605744,40165.29985308551,0.045754967737954615,0.5875,4.0,431.68999999999994,3134.0,217.2,75.0,26.0,6446639.414276123,1000000.0,47.414771801040644
bie,2159939.0,9.0,0.5049159376836008,0.6454422734615017,4984.969278963412,73569.79013660176,0.012646105888734244,0.5407777777777778,1.0,26.89,18307.0,11.17,0.0,,,999999.9999999999,45.13281098187039
huambo,2997196.75,11.0,0.49870245689384,0.6915485654506764,8527.640028747368,33873.27596736606,0.03476505048396554,0.6352727272727273,2.0,52.86,31776.0,34.72,7.0,39.0,28019438.2109375,1000000.0000000001,41.076751489473274
moxico,756128.375,5.0,0.3308734885394894,0.5528663029136213,291.4257436741415,129904.47233475426,0.0,0.6887999999999999,,,,,,12.0,701608.8740844727,999999.9999999999,10.120820325356734
moxicoleste,372044.3125,4.0,0.33162146291441436,0.6113968927237902,43.65449046112289,73316.50574267047,0.0,0.37025,,,,,,,,1000000.0000000001,24.026031927668505
CORRIDOR_TOTAL,9557113.6875,39.0,0.43422083006474643,0.6830337855681547,18669.29337545179,350829.34403447807,0.018633224822130878,0.5645201010101011,7.0,511.43999999999994,53217.0,263.09,82.0,77.0,35167686.499298096,5000000.0,167.77118652540955
