site_index,lon,lat,thresh_min,pop_marginal,pop_total_catch,pct_marginal
1,15.5264,-12.8571,30,24591.34375,729103.0,3.372821638369339
1,15.5264,-12.8571,60,68634.6171875,1367563.5,5.018751757231017
1,15.5264,-12.8571,120,124525.28125,2034827.125,6.119698313437806
1,15.5264,-12.8571,240,70186.265625,2861035.0,2.4531774558857196
2,15.59792,-12.80258,30,3467.031982421875,1039059.625,0.333670166658807
2,15.59792,-12.80258,60,48528.83203125,1355368.875,3.580488893198909
2,15.59792,-12.80258,120,99659.0625,2060697.25,4.836181661328466
2,15.59792,-12.80258,240,69606.4375,2882413.0,2.4148669014468087
3,16.2218,-12.6158,30,63717.36328125,63717.36328125,100.0
3,16.2218,-12.6158,60,134938.328125,187036.96875,72.14527108026604
3,16.2218,-12.6158,120,75833.46875,1788417.0,4.240256536926231
3,16.2218,-12.6158,240,54824.65625,2917118.0,1.8794116744677452
4,16.2347,-12.4255,30,45898.4453125,45898.4453125,100.0
4,16.2347,-12.4255,60,106291.7890625,138067.21875,76.98553648347465
4,16.2347,-12.4255,120,84736.125,1658870.5,5.108061479181165
4,16.2347,-12.4255,240,39986.859375,2869705.75,1.3934132227668288
5,15.6567644,-12.722314,30,3721.179443359375,964026.3125,0.3860039290534795
5,15.6567644,-12.722314,60,3652.77685546875,1302686.25,0.2804034244983203
5,15.6567644,-12.722314,120,46003.9296875,2021323.75,2.2759307947329073
5,15.6567644,-12.722314,240,68376.984375,2897378.25,2.35996057383947
6,15.5992379,-12.7280638,30,11134.4697265625,596114.5625,1.8678405841767203
6,15.5992379,-12.7280638,60,4289.095703125,1280394.0,0.33498249000893476
6,15.5992379,-12.7280638,120,36936.40625,1928759.5,1.9150343135056498
6,15.5992379,-12.7280638,240,67187.640625,2858665.5,2.3503148803174065
7,15.7989893,-13.039864,30,17056.958984375,18179.125,93.82717256399854
7,15.7989893,-13.039864,60,31283.7734375,857685.8125,3.6474630898129723
7,15.7989893,-13.039864,120,62056.75390625,1651788.0,3.7569442268771778
7,15.7989893,-13.039864,240,58752.25,2747009.5,2.138771271085884
8,15.8237445,-12.8910687,30,13679.435546875,670094.125,2.041420008998736
8,15.8237445,-12.8910687,60,17931.58984375,1217687.75,1.472593433230317
8,15.8237445,-12.8910687,120,38463.15234375,1955339.25,1.9670833255022113
8,15.8237445,-12.8910687,240,64115.3671875,2867747.75,2.2357394295750033
9,15.8320598,-12.8790299,30,13392.8095703125,575387.875,2.327614145555726
9,15.8320598,-12.8790299,60,17183.95703125,1204342.125,1.426833511386974
9,15.8320598,-12.8790299,120,35712.125,1948392.125,1.832902347621632
9,15.8320598,-12.8790299,240,63562.5234375,2866085.0,2.2177473256201403
10,15.716523,-12.551236,30,52361.8984375,123494.96875,42.40002565894005
10,15.716523,-12.551236,60,43783.421875,1279382.25,3.4222314617073977
10,15.716523,-12.551236,120,54980.984375,2055511.5,2.674807918856207
10,15.716523,-12.551236,240,67807.34375,2962782.0,2.2886376301057587
11,15.6568397,-12.7333288,30,2645.91748046875,783607.75,0.33765841142698627
11,15.6568397,-12.7333288,60,1803.2110595703125,1269160.75,0.14207901241590654
11,15.6568397,-12.7333288,120,32975.88671875,1957526.5,1.684569108962254
11,15.6568397,-12.7333288,240,67704.2578125,2876909.0,2.353368070123177
12,15.5840385,-12.7267313,30,11992.9404296875,440824.65625,2.7205693374115802
12,15.5840385,-12.7267313,60,3955.655029296875,1273501.5,0.31061251433915665
12,15.5840385,-12.7267313,120,35400.5078125,1916932.125,1.8467272445809733
12,15.5840385,-12.7267313,240,67025.546875,2850772.5,2.351136292882017
13,15.6568397,-12.7333288,30,2645.91748046875,783607.75,0.33765841142698627
13,15.6568397,-12.7333288,60,1803.2110595703125,1269160.75,0.14207901241590654
13,15.6568397,-12.7333288,120,32975.88671875,1957526.5,1.684569108962254
13,15.6568397,-12.7333288,240,67704.2578125,2876909.0,2.353368070123177
14,15.8062687,-13.0333223,30,16742.19921875,18393.857421875,91.02059907694644
14,15.8062687,-13.0333223,60,30722.19140625,862256.25,3.563000141344293
14,15.8062687,-13.0333223,120,59322.02734375,1648676.25,3.598161090981325
14,15.8062687,-13.0333223,240,59002.2890625,2747712.0,2.147324357956729
15,15.8456872,-12.8617312,30,2133.028076171875,8502.259765625,25.087778249210864
15,15.8456872,-12.8617312,60,2640.44189453125,902672.875,0.2925137076409048
15,15.8456872,-12.8617312,120,10851.587890625,1628641.875,0.6662967505133687
15,15.8456872,-12.8617312,240,58732.8671875,2779766.75,2.1128703402003066
16,15.8279142,-12.8688398,30,12717.23828125,533141.875,2.385338476976696
16,15.8279142,-12.8688398,60,15324.2939453125,1198476.375,1.2786479787982887
16,15.8279142,-12.8688398,120,33615.0546875,1944265.75,1.728933130026078
16,15.8279142,-12.8688398,240,63045.9140625,2864684.0,2.200798205404156
17,15.7184063,-12.5618831,30,39719.0546875,63158.19140625,62.88820785259137
17,15.7184063,-12.5618831,60,29079.3984375,1215437.0,2.392505612178994
17,15.7184063,-12.5618831,120,41590.828125,1974837.5,2.1060379967972045
17,15.7184063,-12.5618831,240,67028.703125,2953704.5,2.269309713446284
18,15.6746136,-12.5702552,30,1180.877685546875,1180.877685546875,100.0
18,15.6746136,-12.5702552,60,10957.587890625,99141.453125,11.052478600257555
18,15.6746136,-12.5702552,120,6130.3994140625,1694809.75,0.3617160813514614
18,15.6746136,-12.5702552,240,60792.75,2887768.25,2.105181051145638
19,15.7060396,-12.6057394,30,631.0712890625,631.0712890625,100.0
19,15.7060396,-12.6057394,60,374.5273132324219,59010.125,0.634683138245211
19,15.7060396,-12.6057394,120,801.7525634765625,1612472.125,0.04972194874231159
19,15.7060396,-12.6057394,240,58233.140625,2847297.0,2.0452078102495106
20,15.7649885,-12.6348741,30,40166.515625,915653.0,4.386652544686688
20,15.7649885,-12.6348741,60,30879.43359375,1338283.5,2.307391041864448
20,15.7649885,-12.6348741,120,57174.83984375,2103459.0,2.718134265690465
20,15.7649885,-12.6348741,240,69149.5546875,2959306.25,2.336681263978677
21,15.3483709,-13.0238936,30,42198.65234375,42237.828125,99.90724953675634
21,15.3483709,-13.0238936,60,80980.796875,326849.875,24.776144361383036
21,15.3483709,-13.0238936,120,97917.1171875,1654811.625,5.917115622601455
21,15.3483709,-13.0238936,240,67023.890625,2665954.5,2.514067311538888
22,14.8426,-12.7721,30,16771.435546875,16771.435546875,100.0
22,14.8426,-12.7721,60,61975.5234375,64161.44140625,96.59309716109796
22,14.8426,-12.7721,120,53037.171875,434403.3125,12.209200608938726
22,14.8426,-12.7721,240,58847.5859375,2353591.5,2.5003313420149587
23,14.872,-12.7327,30,21907.44921875,21907.44921875,100.0
23,14.872,-12.7327,60,75840.9140625,78026.8359375,97.19849991514337
23,14.872,-12.7327,120,55018.328125,459846.65625,11.96449454991552
23,14.872,-12.7327,240,59403.0234375,2371401.25,2.504975631496357
24,14.9495,-12.7329,30,18480.453125,18480.453125,100.0
24,14.9495,-12.7329,60,72344.046875,74529.96875,97.06705649866517
24,14.9495,-12.7329,120,55346.390625,471972.0,11.726625864458061
24,14.9495,-12.7329,240,60134.7109375,2376576.0,2.5303087693177075
25,14.9692,-12.83,30,56665.328125,56665.328125,100.0
25,14.9692,-12.83,60,106990.203125,127032.421875,84.22275317263372
25,14.9692,-12.83,120,85215.40625,1451588.75,5.870492331247401
25,14.9692,-12.83,240,64602.52734375,2524689.5,2.5588305945642027
26,14.9118,-12.8505,30,51930.7109375,51930.7109375,100.0
26,14.9118,-12.8505,60,94373.4609375,100811.328125,93.61394467542632
26,14.9118,-12.8505,120,73713.265625,1270711.125,5.800945956540674
26,14.9118,-12.8505,240,63685.9140625,2458341.25,2.5906051107632027
27,14.9099,-12.8615,30,50851.0703125,50851.0703125,100.0
27,14.9099,-12.8615,60,93131.015625,99103.0859375,93.97388057495371
27,14.9099,-12.8615,120,74470.578125,1234707.75,6.031433602405103
27,14.9099,-12.8615,240,63587.8125,2453188.0,2.592048081924418
28,16.0475684,-12.5610345,30,36673.04296875,36673.04296875,100.0
28,16.0475684,-12.5610345,60,98507.796875,623511.125,15.798883600513141
28,16.0475684,-12.5610345,120,64472.1484375,1886088.625,3.418298990987234
28,16.0475684,-12.5610345,240,62020.6640625,2943895.0,2.10675530419733
29,16.0108371,-12.5558828,30,31718.5703125,31718.5703125,100.0
29,16.0108371,-12.5558828,60,89559.390625,289715.625,30.912861750207636
29,16.0108371,-12.5558828,120,58962.890625,1861954.0,3.1667211233467634
29,16.0108371,-12.5558828,240,60201.296875,2933355.0,2.0523017798732166
30,15.9000005,-12.5323524,30,19629.48046875,19645.81640625,99.91684775444199
30,15.9000005,-12.5323524,60,38086.2109375,706232.0,5.3928752785911716
30,15.9000005,-12.5323524,120,35223.4609375,1909618.0,1.8445291643407216
30,15.9000005,-12.5323524,240,63992.25390625,2936578.0,2.179143680373891
31,15.85686013,-12.55910948,30,19201.27734375,20155.29296875,95.26667448357529
31,15.85686013,-12.55910948,60,23026.43359375,950150.25,2.4234518270926095
31,15.85686013,-12.55910948,120,19572.095703125,1894381.5,1.03316547924085
31,15.85686013,-12.55910948,240,64728.03125,2924382.25,2.21339160603919
32,15.8353055,-12.5386274,30,32623.9453125,37593.70703125,86.78033609556287
32,15.8353055,-12.5386274,60,31363.42578125,1030479.75,3.0435751679011647
32,15.8353055,-12.5386274,120,27330.76953125,1955138.625,1.397894204624493
