row,col,lon,lat,flow_load,risk_rank
166,119,15.78749999999999,-12.820833333333328,370099.0419262016,1
167,119,15.78749999999999,-12.82916666666666,97938.78833654693,2
180,112,15.729166666666657,-12.937499999999993,97938.78833654693,3
156,120,15.795833333333325,-12.737499999999994,55540.159255589024,4
160,119,15.78749999999999,-12.770833333333327,55540.159255589024,5
134,121,15.804166666666658,-12.55416666666666,55540.159255589024,6
157,120,15.795833333333325,-12.745833333333326,55540.159255589024,7
158,120,15.795833333333325,-12.754166666666661,55540.159255589024,8
169,125,15.837499999999991,-12.845833333333328,49511.41777866607,9
182,153,16.070833333333326,-12.95416666666666,49511.41777866607,10
141,98,15.612499999999992,-12.612499999999994,31016.649236073696,11
171,108,15.695833333333326,-12.862499999999994,26294.141884036835,12
65,118,15.779166666666658,-11.97916666666666,16082.570149138504,13
82,86,15.512499999999992,-12.120833333333328,16082.570149138504,14
158,51,15.220833333333324,-12.754166666666661,15144.418955091467,15
140,129,15.870833333333325,-12.60416666666666,13600.625655748885,16
157,123,15.820833333333324,-12.745833333333326,13600.625655748885,17
164,120,15.795833333333325,-12.80416666666666,13600.625655748885,18
125,135,15.920833333333325,-12.47916666666666,13600.625655748885,19
185,152,16.062499999999993,-12.97916666666666,12145.828603076649,20
126,86,15.512499999999992,-12.487499999999994,8662.055450561407,21
179,153,16.070833333333326,-12.92916666666666,8538.938708244455,22
140,171,16.220833333333324,-12.60416666666666,8386.94511054048,23
77,135,15.920833333333325,-12.07916666666666,8386.94511054048,24
156,180,16.295833333333324,-12.737499999999994,8386.94511054048,25
103,61,15.304166666666658,-12.295833333333327,7179.633078205408,26
166,98,15.612499999999992,-12.820833333333328,6328.443828575613,27
166,92,15.562499999999991,-12.820833333333328,6328.443828575613,28
166,68,15.362499999999992,-12.820833333333328,6328.443828575613,29
166,99,15.620833333333325,-12.820833333333328,6328.443828575613,30
77,130,15.879166666666658,-12.07916666666666,6102.079016073844,31
103,136,15.929166666666658,-12.295833333333327,6102.079016073844,32
199,76,15.429166666666658,-13.095833333333328,5531.197303396072,33
178,59,15.287499999999993,-12.920833333333327,5531.197303396072,34
96,105,15.670833333333325,-12.237499999999994,4331.027725280704,35
115,96,15.595833333333324,-12.395833333333327,3485.287838925324,36
114,97,15.604166666666659,-12.387499999999994,3485.287838925324,37
129,89,15.53749999999999,-12.512499999999994,3485.287838925324,38
165,69,15.370833333333325,-12.812499999999993,3485.287838925324,39
149,44,15.162499999999993,-12.67916666666666,3430.016204771204,40
132,49,15.204166666666659,-12.537499999999994,3430.016204771204,41
