ADM2CD_c,NAM_2,NAM_1,communications__telephone,communications__internet,communications__newspaper,communications__radio,communications__television,communications__none,foodinsecurity__went_without_food,foodinsecurity__unable_eat_healthy,foodinsecurity__few_types_of_food,foodinsecurity__skipped_meal,foodinsecurity__ate_less_than_needed,foodinsecurity__ran_out_of_food,foodinsecurity__hungry_did_not_eat,foodinsecurity__without_food_all_day,foodinsecurity__food_insec_scale,infra__electricity,infra__water_storage,infra__veterinarians,infra__banking,infra__mech_agri_equip,infra__agri_schools,infra__primary_schools,infra__field_schools,infra__health_units,infra__agri_stock,outflow__none,outflow__difficult_access_to_village,outflow__insufficient_transport,outflow__lack_conservation_infra,outflow__high_transport_cost,outflow__lack_transport_means,outflow__other,poverty__poverty_rural,poverty__poverty_urban,poverty__poverty_total,productions__diff_access_land,productions__unavailable_agri_land,productions__diff_access_water,productions__rural_exodus,productions__diff_dispose_products,productions__lack_rain,productions__lack_agri_equipment,productions__lack_tech_assist,productions__lack_manpower,productions__diff_access_credit,traveltime__avg_minutes_to_market_financial,waterresources__rivers,waterresources__streams,waterresources__lakes,waterresources__lagoons,waterresources__wells
AGO003001,Andulo,Bié,0.355,0.018000000000000002,0.003,0.873,0.067,0.084,0.789,0.19699999999999998,0.752,0.716,0.718,0.693,0.688,0.568,0.644,0.044000000000000004,0.5479999999999999,0.0,0.0,0.013000000000000001,0.005,0.209,0.368,0.079,0.0,0.003,0.584,0.914,0.826,0.9,0.36,0.0,0.53,0.28300000000000003,0.461,0.11199999999999999,0.09699999999999999,0.39799999999999996,0.47700000000000004,0.78,0.21100000000000002,0.9470000000000001,0.91,0.355,0.7929999999999999,214.41318330000001,0.72,0.354,0.038,0.02,0.016
AGO003002,Camacupa,Bié,0.439,0.11800000000000001,0.013000000000000001,0.987,0.168,0.011000000000000001,0.828,0.125,0.818,0.8340000000000001,0.779,0.736,0.747,0.6609999999999999,0.6920000000000001,0.013000000000000001,0.039,0.004,0.006,0.006999999999999999,0.018000000000000002,0.113,0.39299999999999996,0.054000000000000006,0.002,0.017,0.72,0.924,0.943,0.961,0.7559999999999999,0.002,0.594,0.42,0.525,0.08900000000000001,0.10300000000000001,0.524,0.402,0.919,0.28800000000000003,0.948,0.932,0.5920000000000001,0.915,245.86715904,0.498,0.251,0.107,0.066,0.13699999999999998
AGO003003,Catabola,Bié,0.599,0.11,0.02,0.973,0.268,0.017,0.8079999999999999,0.242,0.763,0.775,0.768,0.657,0.682,0.488,0.648,0.023,0.006999999999999999,0.01,0.003,0.02,0.003,0.22399999999999998,0.5589999999999999,0.084,0.013000000000000001,0.0,0.542,0.9229999999999999,0.987,0.973,0.552,0.0,0.49,0.331,0.45399999999999996,0.09,0.09,0.518,0.368,0.8190000000000001,0.278,0.98,0.983,0.659,0.9670000000000001,201.45332136000002,0.462,0.237,0.127,0.013000000000000001,0.107
AGO003004,Chinguar,Bié,0.846,0.264,0.016,0.9620000000000001,0.5489999999999999,0.016,0.8370000000000001,0.23800000000000002,0.8320000000000001,0.813,0.828,0.825,0.812,0.574,0.72,0.275,0.23600000000000002,0.049,0.0,0.038,0.0,0.61,0.637,0.126,0.0,0.022000000000000002,0.379,0.753,0.8190000000000001,0.835,0.22,0.0,0.55,0.36,0.511,0.08199999999999999,0.071,0.467,0.5379999999999999,0.802,0.154,0.9620000000000001,0.857,0.17,0.907,118.7445789,0.687,0.6809999999999999,0.06,0.071,0.06
AGO003005,Chitembo,Bié,0.456,0.057,0.019,0.677,0.14800000000000002,0.247,0.8420000000000001,0.107,0.865,0.816,0.838,0.8109999999999999,0.8009999999999999,0.748,0.731,0.14400000000000002,0.40299999999999997,0.057,0.0,0.03,0.0,0.209,0.297,0.129,0.004,0.015,0.441,0.757,0.745,0.871,0.259,0.004,0.586,0.483,0.552,0.038,0.053,0.35,0.418,0.688,0.16,0.943,0.8370000000000001,0.213,0.878,229.86998531999998,0.779,0.631,0.049,0.091,0.034
AGO003006,Cuemba,Bié,0.23199999999999998,0.015,0.005,0.8759999999999999,0.14400000000000002,0.10800000000000001,0.69,0.353,0.7,0.6829999999999999,0.69,0.618,0.5670000000000001,0.39799999999999996,0.585,0.026000000000000002,0.077,0.01,0.01,0.021,0.005,0.309,0.247,0.10800000000000001,0.005,0.015,0.887,0.9279999999999999,0.938,0.9690000000000001,0.613,0.0,0.618,0.508,0.579,0.14400000000000002,0.098,0.418,0.273,0.902,0.242,0.9590000000000001,0.902,0.515,0.943,335.08619735999997,0.644,0.278,0.077,0.10300000000000001,0.11900000000000001
AGO003007,Cunhinga,Bié,0.43,0.055,0.0,0.82,0.11699999999999999,0.11699999999999999,0.8270000000000001,0.16,0.731,0.743,0.748,0.647,0.6459999999999999,0.5820000000000001,0.628,0.133,0.547,0.0,0.0,0.0,0.0,0.445,0.68,0.18,0.0,0.0,0.5,0.8590000000000001,0.812,0.953,0.43799999999999994,0.0,0.521,0.325,0.49,0.07,0.07,0.406,0.375,0.75,0.11699999999999999,0.93,0.961,0.391,0.883,193.20305190000002,0.6559999999999999,0.273,0.008,0.023,0.07
AGO003008,Kuito,Bié,0.494,0.166,0.011000000000000001,0.955,0.309,0.038,0.907,0.152,0.816,0.809,0.846,0.777,0.758,0.519,0.701,0.057,0.21100000000000002,0.0,0.0,0.004,0.004,0.264,0.551,0.07200000000000001,0.008,0.0,0.66,0.853,0.951,0.917,0.158,0.004,0.483,0.212,0.26899999999999996,0.177,0.166,0.396,0.581,0.826,0.166,0.958,0.902,0.32799999999999996,0.845,162.15205806,0.649,0.48700000000000004,0.07200000000000001,0.113,0.045
AGO003009,N'harea,Bié,0.14,0.005,0.005,0.8270000000000001,0.099,0.161,0.728,0.217,0.757,0.722,0.6829999999999999,0.607,0.611,0.541,0.609,0.046,0.541,0.015,0.0,0.008,0.008,0.18899999999999997,0.321,0.071,0.005,0.005,0.5589999999999999,0.9179999999999999,0.758,0.8290000000000001,0.39299999999999996,0.0,0.495,0.341,0.462,0.14300000000000002,0.087,0.49700000000000005,0.39,0.7809999999999999,0.263,0.9490000000000001,0.885,0.33899999999999997,0.8340000000000001,41.42306874,0.691,0.25,0.051,0.08900000000000001,0.031
