site_index,lon,lat,thresh_min,pop_marginal,pop_total_catch,pct_marginal,no,project,sector,muni
1,13.502981,-12.430235,30,107.1927261352539,1315503.875,0.0081484158406795,1,Intervenção nas valas de irrigação do perímetro agrário da Catumbela,Agro-pecuária,Catumbela
1,13.502981,-12.430235,60,92.70947265625,1643761.5,0.005640080550387,1,Intervenção nas valas de irrigação do perímetro agrário da Catumbela,Agro-pecuária,Catumbela
1,13.502981,-12.430235,120,19913.7109375,1878976.5,1.0598169236017587,1,Intervenção nas valas de irrigação do perímetro agrário da Catumbela,Agro-pecuária,Catumbela
1,13.502981,-12.430235,240,35714.125,2895607.0,1.233389924806785,1,Intervenção nas valas de irrigação do perímetro agrário da Catumbela,Agro-pecuária,Catumbela
2,13.92658333,-11.99188889,30,16329.69140625,16329.69140625,100.0,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Agro-pecuária,Egito Praia
2,13.92658333,-11.99188889,60,29901.04296875,40200.3828125,74.37999560405305,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Agro-pecuária,Egito Praia
2,13.92658333,-11.99188889,120,44330.65625,1731844.5,2.559736526576145,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Agro-pecuária,Egito Praia
2,13.92658333,-11.99188889,240,29934.267578125,2318866.0,1.2909011378029176,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Agro-pecuária,Egito Praia
3,13.92658333,-11.98361111,30,16150.111328125,16150.111328125,100.0,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Agro-pecuária,Egito Praia
3,13.92658333,-11.98361111,60,28983.58984375,38185.515625,75.90205178419664,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Agro-pecuária,Egito Praia
3,13.92658333,-11.98361111,120,41793.1640625,1691232.625,2.47116590850416,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Agro-pecuária,Egito Praia
3,13.92658333,-11.98361111,240,29726.08203125,2308505.5,1.2876764656289534,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Agro-pecuária,Egito Praia
4,13.93563889,-11.97777778,30,14024.146484375,14024.146484375,100.0,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Agro-pecuária,Egito Praia
4,13.93563889,-11.97777778,60,25859.015625,30026.427734375,86.12085278261709,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Agro-pecuária,Egito Praia
4,13.93563889,-11.97777778,120,25939.765625,1184787.25,2.1894028337155045,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Agro-pecuária,Egito Praia
4,13.93563889,-11.97777778,240,26984.525390625,2263626.75,1.1920925298583347,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Agro-pecuária,Egito Praia
5,13.96986111,-11.97677778,30,18861.99609375,18861.99609375,100.0,2,Intervenção nas 16 valas de irrigação do perímetro agrário – Egito Praia,Agro-pecuária,Egito Praia
