project_id,source,lon,lat,aoi,denom_cells_5km,pop_5km,hh_5km,poorest_hh_5km,ag_km2_5km,pct_electrified_5km,pct_rural_5km,pct_priority_5km,risk_roadcells_5km,tt_health_mean_5km,health_cover_60min_5km,tt_edu_mean_5km,bldg_dens_mean_5km,dre_demand_sum_5km,gsl_mean_5km,denom_cells_10km,pop_10km,hh_10km,poorest_hh_10km,ag_km2_10km,pct_electrified_10km,pct_rural_10km,pct_priority_10km,risk_roadcells_10km,tt_health_mean_10km,health_cover_60min_10km,tt_edu_mean_10km,bldg_dens_mean_10km,dre_demand_sum_10km,gsl_mean_10km,denom_cells_30km,pop_30km,hh_30km,poorest_hh_30km,ag_km2_30km,pct_electrified_30km,pct_rural_30km,pct_priority_30km,risk_roadcells_30km,tt_health_mean_30km,health_cover_60min_30km,tt_edu_mean_30km,bldg_dens_mean_30km,dre_demand_sum_30km,gsl_mean_30km
49,wb,13.48618333,-12.60254167,benguela,95,21595.44140625,4319.08828125,1507.3619384765625,18.19291823495579,0.35789473684210527,0.4631578947368421,0.1368421052631579,38,7.357717514038086,1.0,7.570404529571533,0.0047149029560387135,1895.10009765625,178.0330810546875,373,521908.3125,104381.6625,36429.67578125,43.19811100964645,0.4128686327077748,0.2975871313672922,0.11528150134048257,117,13.158699035644531,0.935656836461126,13.508525848388672,0.034826889634132385,17006.599609375,171.03155517578125,3378,1572390.875,314478.175,132001.78125,140.29119344112462,0.13587921847246892,0.09354647720544701,0.042924807578448784,335,37.883995056152344,0.5894020130254588,34.6218147277832,0.012732918374240398,157871.796875,185.46739196777344
23,dm,13.48618333,-12.60254167,benguela,95,21595.44140625,4319.08828125,1507.3619384765625,18.19291823495579,0.35789473684210527,0.4631578947368421,0.1368421052631579,38,7.357717514038086,1.0,7.570404529571533,0.0047149029560387135,1895.10009765625,178.0330810546875,373,521908.3125,104381.6625,36429.67578125,43.19811100964645,0.4128686327077748,0.2975871313672922,0.11528150134048257,117,13.158699035644531,0.935656836461126,13.508525848388672,0.034826889634132385,17006.599609375,171.03155517578125,3378,1572390.875,314478.175,132001.78125,140.29119344112462,0.13587921847246892,0.09354647720544701,0.042924807578448784,335,37.883995056152344,0.5894020130254588,34.6218147277832,0.012732918374240398,157871.796875,185.46739196777344
0,dm,13.502981,-12.430235,benguela,94,123554.890625,24710.978125,8722.974609375,27.553210525742465,0.3723404255319149,0.2978723404255319,0.35106382978723405,42,4.798999309539795,0.648936170212766,3.017754316329956,0.030990848317742348,1672.699951171875,224.79959106445312,374,520503.125,104100.625,46957.7109375,45.687672998158234,0.35561497326203206,0.2192513368983957,0.22459893048128343,92,4.958008766174316,0.5347593582887701,3.2483856678009033,0.04782913625240326,67149.5078125,194.17501831054688,3374,1566888.0,313377.6,133203.796875,114.87854282467916,0.13722584469472437,0.0936573799644339,0.043272080616478956,285,19.399858474731445,0.47688203912270305,17.32288932800293,0.018787862733006477,157806.390625,184.8916015625
26,wb,13.502981,-12.430235,benguela,94,123554.890625,24710.978125,8722.974609375,27.553210525742465,0.3723404255319149,0.2978723404255319,0.35106382978723405,42,4.798999309539795,0.648936170212766,3.017754316329956,0.030990848317742348,1672.699951171875,224.79959106445312,374,520503.125,104100.625,46957.7109375,45.687672998158234,0.35561497326203206,0.2192513368983957,0.22459893048128343,92,4.958008766174316,0.5347593582887701,3.2483856678009033,0.04782913625240326,67149.5078125,194.17501831054688,3374,1566888.0,313377.6,133203.796875,114.87854282467916,0.13722584469472437,0.0936573799644339,0.043272080616478956,285,19.399858474731445,0.47688203912270305,17.32288932800293,0.018787862733006477,157806.390625,184.8916015625
25,dm,14.25974,-13.04839,benguela,95,97311.1875,19462.2375,14402.0576171875,69.90403431770942,0.35789473684210527,0.3368421052631579,0.8105263157894737,30,4.208456993103027,1.0,3.0452239513397217,0.022354746237397194,11650.7998046875,245.2952117919922,377,126949.3125,25389.8625,18699.087890625,259.14237093550037,0.09283819628647215,0.38461538461538464,0.6472148541114059,50,12.525829315185547,1.0,8.38081169128418,0.006230936851352453,12653.7998046875,249.38916015625,3381,341756.78125,68351.35625,48293.86328125,1742.397578191974,0.01626737651582372,0.33540372670807456,0.18515232179828453,222,41.31476593017578,0.7675244010647737,22.253599166870117,0.0013018934987485409,24696.599609375,252.35948181152344
50,wb,14.25963,-13.04825,benguela,95,97311.1875,19462.2375,14402.0576171875,69.90403431770942,0.35789473684210527,0.3368421052631579,0.8105263157894737,30,4.208456993103027,1.0,3.0452239513397217,0.022354746237397194,11650.7998046875,245.2952117919922,377,126949.3125,25389.8625,18699.087890625,259.14237093550037,0.09283819628647215,0.38461538461538464,0.6472148541114059,50,12.525829315185547,1.0,8.38081169128418,0.006230936851352453,12653.7998046875,249.38916015625,3382,341795.0,68359.0,48299.5234375,1742.4895243652154,0.016262566528681254,0.33560023654642224,0.1850975753991721,222,41.31953048706055,0.7675931401537551,22.26156997680664,0.001301742042414844,24719.998046875,252.36119079589844
51,wb,14.25974,-13.04839,benguela,95,97311.1875,19462.2375,14402.0576171875,69.90403431770942,0.35789473684210527,0.3368421052631579,0.8105263157894737,30,4.208456993103027,1.0,3.0452239513397217,0.022354746237397194,11650.7998046875,245.2952117919922,377,126949.3125,25389.8625,18699.087890625,259.14237093550037,0.09283819628647215,0.38461538461538464,0.6472148541114059,50,12.525829315185547,1.0,8.38081169128418,0.006230936851352453,12653.7998046875,249.38916015625,3381,341756.78125,68351.35625,48293.86328125,1742.397578191974,0.01626737651582372,0.33540372670807456,0.18515232179828453,222,41.31476593017578,0.7675244010647737,22.253599166870117,0.0013018934987485409,24696.599609375,252.35948181152344
24,dm,14.25963,-13.04825,benguela,95,97311.1875,19462.2375,14402.0576171875,69.90403431770942,0.35789473684210527,0.3368421052631579,0.8105263157894737,30,4.208456993103027,1.0,3.0452239513397217,0.022354746237397194,11650.7998046875,245.2952117919922,377,126949.3125,25389.8625,18699.087890625,259.14237093550037,0.09283819628647215,0.38461538461538464,0.6472148541114059,50,12.525829315185547,1.0,8.38081169128418,0.006230936851352453,12653.7998046875,249.38916015625,3382,341795.0,68359.0,48299.5234375,1742.4895243652154,0.016262566528681254,0.33560023654642224,0.1850975753991721,222,41.31953048706055,0.7675931401537551,22.26156997680664,0.001301742042414844,24719.998046875,252.36119079589844
20,dm,14.7682393,-12.3545192,benguela,94,52905.01171875,10581.00234375,7343.21533203125,67.94590119801866,0.19148936170212766,0.13829787234042554,0.0,9,10.707833290100098,1.0,8.640932083129883,0.010911116376519203,6000.6005859375,261.03564453125,372,65489.5546875,13097.9109375,9089.9501953125,206.9664276684587,0.04838709677419355,0.12096774193548387,0.0,24,21.675432205200195,0.9489247311827957,17.706710815429688,0.003053992986679077,6835.60009765625,269.9114074707031,3375,161666.984375,32333.396875,22375.1328125,1091.6131842873592,0.005333333333333333,0.1122962962962963,0.0,113,83.24253845214844,0.4948148148148148,60.40077209472656,0.0006632526055909693,16152.701171875,271.42864990234375
46,wb,14.7682393,-12.3545192,benguela,94,52905.01171875,10581.00234375,7343.21533203125,67.94590119801866,0.19148936170212766,0.13829787234042554,0.0,9,10.707833290100098,1.0,8.640932083129883,0.010911116376519203,6000.6005859375,261.03564453125,372,65489.5546875,13097.9109375,9089.9501953125,206.9664276684587,0.04838709677419355,0.12096774193548387,0.0,24,21.675432205200195,0.9489247311827957,17.706710815429688,0.003053992986679077,6835.60009765625,269.9114074707031,3375,161666.984375,32333.396875,22375.1328125,1091.6131842873592,0.005333333333333333,0.1122962962962963,0.0,113,83.24253845214844,0.4948148148148148,60.40077209472656,0.0006632526055909693,16152.701171875,271.42864990234375
