ADM2CD_c,NAM_1,NAM_2,lon,lat,pop,rwi_z,mass,share_selected,selected,in_priority_mask
AGO003001,Bié,Andulo,16.458386689986984,-11.27360756745956,382315.28125,-0.19134107,364027.11873482354,0.0,False,False
AGO003002,Bié,Camacupa,17.77727871830321,-12.450776677556012,231339.75,-0.1826628,220775.46269010007,0.0,False,False
AGO003003,Bié,Catabola,17.250693976682363,-12.146990355541629,188848.5,-0.19468898,179656.81692382693,0.0,False,False
AGO003004,Bié,Chinguar,16.56603657812849,-12.568543921784578,188373.671875,-0.16774623,180473.92499899023,0.0,False,False
AGO003005,Bié,Chitembo,17.22249112086603,-13.47515749230372,116329.7109375,-0.19901788,110541.78428939635,0.0,False,False
AGO003006,Bié,Cuemba,18.448625016289068,-11.811851774506176,84447.0,-0.20518973,80115.08624768257,0.0,False,False
AGO003007,Bié,Cunhinga,16.797541199514377,-11.995414229019708,114354.796875,-0.19705935,108721.12516232114,0.0,False,False
AGO003008,Bié,Kuito,17.015701978499777,-12.538070914866069,666531.875,-0.13917443,643340.8213286102,0.0501567398119122,True,True
AGO003009,Bié,N'harea,17.153876543581397,-11.307673252012446,187398.234375,-0.19839421,178103.54906025343,0.0,False,False
