ADM2CD_c,NAM_2,poverty_rural,cum_pop_share,cum_benefit_share
AGO015009,Lumbala N'guimbo,0.74,0.13696711334927933,0.0
AGO015002,Camanongue,0.728,0.2029212909888592,0.0
AGO015007,Luchazes,0.675,0.23124763065914458,0.0
AGO015008,Luena (moxico),0.674,0.9346898052952584,0.0
AGO015004,Leua,0.627,1.0,0.0
