lab,ADM2CD_c,NAM_1,NAM_2
1,AGO015002,Moxico,Camanongue
2,AGO015004,Moxico,Leua
3,AGO015007,Moxico,Luchazes
4,AGO015008,Moxico,Luena (moxico)
5,AGO015009,Moxico,Lumbala N'guimbo
