lab,ADM2CD_c,NAM_1,NAM_2
1,AGO003001,Bié,Andulo
2,AGO003002,Bié,Camacupa
3,AGO003003,Bié,Catabola
4,AGO003004,Bié,Chinguar
5,AGO003005,Bié,Chitembo
6,AGO003006,Bié,Cuemba
7,AGO003007,Bié,Cunhinga
8,AGO003008,Bié,Kuito
9,AGO003009,Bié,N'harea
