lab,ADM2CD_c,NAM_1,NAM_2
1,AGO002001,Benguela,Baia Farta
2,AGO002002,Benguela,Balombo
3,AGO002003,Benguela,Benguela
4,AGO002004,Benguela,Bocoio
5,AGO002005,Benguela,Caimbambo
6,AGO002006,Benguela,Catumbela
7,AGO002007,Benguela,Chongoroi
8,AGO002008,Benguela,Cubal
9,AGO002009,Benguela,Ganda
10,AGO002010,Benguela,Lobito
