site_id,x,y,lon,lat,row,col,travel_min,veg_index,ntl,drought_pct,cropland_cells_5km,cropland_km2_5km,electrified_cells_5km,electrified_share_5km,near_road_flag,tt_health_min,tt_education_min,building_density,gsl_median_days,spei12_drought_events
1,13.502981,-12.430235,13.502981,-12.430235,80,117,13.111627578735352,222.66461181640625,1.074123501777649,20.19999122619629,60,30.5739803314209,28,0.345679012345679,1,5.741965293884277,0.0,0.0003231043228879571,222.66461181640625,20.19999122619629
2,13.92658333,-11.99188889,13.92658333,-11.99188889,28,168,88.14859008789062,250.56886291503906,0.17307214438915253,21.43999481201172,40,5.760146141052246,0,0.0,1,10.188355445861816,5.496661186218262,5.790440991404466e-05,250.56886291503906,21.43999481201172
2,13.92658333,-11.98361111,13.92658333,-11.98361111,27,168,98.40623474121094,242.4879150390625,0.17240041494369507,21.71999168395996,37,5.202905178070068,0,0.0,1,19.585491180419922,14.893796920776367,6.10040697210934e-05,242.4879150390625,21.71999168395996
2,13.93563889,-11.97777778,13.93563889,-11.97777778,26,169,107.40736389160156,235.40423583984375,0.1674669086933136,21.999982833862305,35,6.735994338989258,0,0.0,0,27.831512451171875,23.13981819152832,0.0,235.40423583984375,21.999982833862305
2,13.96986111,-11.97677778,13.96986111,-11.97677778,26,173,86.64859008789062,236.95997619628906,0.18422941863536835,21.200010299682617,59,18.622634887695312,5,0.06172839506172839,1,3.317528486251831,3.317528486251831,0.009640294127166271,236.95997619628906,21.200010299682617
2,13.96986111,-11.97169444,13.96986111,-11.97169444,25,173,93.93067932128906,237.73651123046875,0.18027068674564362,21.59998893737793,57,16.316905975341797,4,0.04938271604938271,1,8.882883071899414,9.988725662231445,0.00045633071567863226,237.73651123046875,21.59998893737793
2,13.97575,-11.94577778,13.97575,-11.94577778,22,174,91.03767395019531,244.10887145996094,0.1750701665878296,22.59998893737793,54,10.520624160766602,0,0.0,0,5.529214382171631,7.25029182434082,0.0,244.10887145996094,22.59998893737793
2,13.95425,-12.04463889,13.95425,-12.04463889,34,171,75.63818359375,229.2650146484375,0.17564545571804047,21.159996032714844,68,12.87053108215332,0,0.0,1,9.013457298278809,3.127795934677124,0.0002789313730318099,229.2650146484375,21.159996032714844
2,13.95227778,-12.04691667,13.95227778,-12.04691667,34,171,75.63818359375,229.2650146484375,0.17564545571804047,21.159996032714844,68,12.87053108215332,0,0.0,1,9.013457298278809,3.127795934677124,0.0002789313730318099,229.2650146484375,21.159996032714844
2,13.94530556,-12.08802778,13.94530556,-12.08802778,39,170,80.50287628173828,245.11904907226562,0.17381404340267181,21.67998504638672,51,9.494244575500488,0,0.0,1,22.316797256469727,16.431135177612305,0.0,245.11904907226562,21.67998504638672
2,13.91877778,-12.01580556,13.91877778,-12.01580556,30,167,91.9798583984375,249.1241455078125,0.17192615568637848,21.360008239746094,41,4.4157843589782715,0,0.0,1,19.33857536315918,14.40157699584961,0.00023161931312642992,249.1241455078125,21.360008239746094
2,13.92405556,-12.01369444,13.92405556,-12.01369444,30,167,91.9798583984375,249.1241455078125,0.17192615568637848,21.360008239746094,41,4.4157843589782715,0,0.0,1,19.33857536315918,14.40157699584961,0.00023161931312642992,249.1241455078125,21.360008239746094
2,13.92233333,-12.10586111,13.92233333,-12.10586111,41,167,66.98133087158203,233.04144287109375,0.1767830103635788,21.800016403198242,40,4.87330436706543,0,0.0,1,16.944089889526367,7.132407188415527,0.0,233.04144287109375,21.800016403198242
2,13.85897222,-11.81066667,13.85897222,-11.81066667,6,160,183.40057373046875,240.70896911621094,0.17086967825889587,23.000001907348633,10,0.4097334146499634,0,0.0,0,116.83635711669922,118.55743408203125,0.0,240.70896911621094,23.000001907348633
2,13.91002778,-12.15422222,13.91002778,-12.15422222,47,166,73.06710815429688,234.90142822265625,0.1713012009859085,21.75998306274414,53,5.783133029937744,0,0.0,1,31.176349639892578,16.578105926513672,0.0003661380033008754,234.90142822265625,21.75998306274414
2,14.06216667,-11.86805556,14.06216667,-11.86805556,13,184,115.06890106201172,272.4461975097656,0.169785737991333,26.599985122680664,60,6.806266784667969,0,0.0,1,27.544462203979492,29.265541076660156,0.0009658489725552499,272.4461975097656,26.599985122680664
2,14.02297222,-12.11763889,14.02297222,-12.11763889,43,179,214.94300842285156,256.74029541015625,0.1560041606426239,27.599979400634766,78,20.530561447143555,0,0.0,0,121.93645477294922,102.25323486328125,0.00010217139060841873,256.74029541015625,27.599979400634766
3,14.63861111,-12.08,14.63861111,-12.08,38,253,257.35516357421875,278.8628845214844,0.1473725289106369,26.91999626159668,60,12.014684677124023,0,0.0,0,101.844970703125,99.81433868408203,0.0,278.8628845214844,26.91999626159668
4,13.8477,-12.30325,13.8477,-12.30325,65,158,39.889801025390625,224.61529541015625,0.220217764377594,16.20000648498535,50,10.143038749694824,0,0.0,1,1.3741652965545654,1.9433631896972656,0.0008869165903888643,224.61529541015625,16.20000648498535
5,14.8,-12.9167,14.8,-12.9167,139,273,47.05055618286133,251.34539794921875,0.14349885284900665,28.76000213623047,78,43.827327728271484,5,0.06172839506172839,0,13.605112075805664,12.230947494506836,0.0,251.34539794921875,28.76000213623047
6,14.7682393,-12.3545192,14.7682393,-12.3545192,71,269,127.4384994506836,250.32408142089844,0.645476222038269,23.999998092651367,81,69.8183822631836,18,0.2222222222222222,1,0.0,0.0,0.2028753161430359,250.32408142089844,23.999998092651367
7,14.00276944,-13.02198333,14.00276944,-13.02198333,151,177,48.07990264892578,237.33453369140625,1.117229700088501,17.799999237060547,81,31.160478591918945,18,0.2222222222222222,1,0.0,0.0,0.07273121178150177,237.33453369140625,17.799999237060547
9,13.48618333,-12.60254167,13.48618333,-12.60254167,101,115,16.24705696105957,160.47149658203125,0.9253434538841248,18.800006866455078,42,17.586009979248047,26,0.32098765432098764,1,4.122496128082275,1.9433631896972656,0.0010625540744513273,160.47149658203125,18.800006866455078
10,14.25963,-13.04825,14.25963,-13.04825,154,208,3.1091883182525635,242.26156616210938,1.0471808910369873,17.879995346069336,81,70.12455749511719,34,0.41975308641975306,1,1.749026894569397,0.0,0.038456082344055176,242.26156616210938,17.879995346069336
10,14.25974,-13.04839,14.25974,-13.04839,154,208,3.1091883182525635,242.26156616210938,1.0471808910369873,17.879995346069336,81,70.12455749511719,34,0.41975308641975306,1,1.749026894569397,0.0,0.038456082344055176,242.26156616210938,17.879995346069336
