lab,ADM2CD_c,NAM_1,NAM_2
1,AGO009001,Huambo,Bailundo
2,AGO009002,Huambo,Caala
3,AGO009003,Huambo,Ekunha
4,AGO009004,Huambo,Huambo
5,AGO009005,Huambo,Katchiungo
6,AGO009006,Huambo,Londuimbali
7,AGO009007,Huambo,Longonjo
8,AGO009008,Huambo,Mungo
9,AGO009009,Huambo,Tchikala-tcholoanga
10,AGO009010,Huambo,Tchindjenje
11,AGO009011,Huambo,Ukuma
