oi,dj,flow,dist_km
AGO015002,AGO015002,7751.666322336466,0.0
AGO015002,AGO015004,3394.875753082232,52.61684486585205
AGO015002,AGO015007,55.44031456032659,271.48458898369336
AGO015002,AGO015008,14930.073879694948,113.66186303019846
AGO015002,AGO015009,106.75790549679981,332.90895380844415
AGO015004,AGO015002,3394.875753082232,52.61684486585205
AGO015004,AGO015004,7207.569858879107,0.0
AGO015004,AGO015007,73.31261568914718,250.43034438527783
AGO015004,AGO015008,15553.378396835327,108.50930912225154
AGO015004,AGO015009,208.68957614366383,285.797476876585
AGO015007,AGO015002,55.44031456032659,271.48458898369336
AGO015007,AGO015004,73.31261568914718,250.43034438527783
AGO015007,AGO015007,1365.7904420559266,0.0
AGO015007,AGO015008,3100.100797404944,160.5855756054374
AGO015007,AGO015009,330.3544066929779,199.72964865026492
AGO015008,AGO015002,14930.073879694948,113.66186303019846
AGO015008,AGO015004,15553.378396835327,108.50930912225154
AGO015008,AGO015007,3100.100797404944,160.5855756054374
AGO015008,AGO015008,870182.6926950441,0.0
AGO015008,AGO015009,3005.2843368828644,267.7645483151478
AGO015009,AGO015002,106.75790549679981,332.90895380844415
AGO015009,AGO015004,208.68957614366383,285.797476876585
AGO015009,AGO015007,330.3544066929779,199.72964865026492
AGO015009,AGO015008,3005.2843368828644,267.7645483151478
AGO015009,AGO015009,31975.74471671785,0.0
